iter	Passed	Remaining
807	13316	24144
808	13339	24138
809	13359	24129
810	13378	24117
811	13384	24082
812	13404	24072
813	13425	24063
814	13445	24053
815	13465	24043
816	13489	24039
817	13504	24020
818	13525	24013
819	13532	23979
820	13552	23969
821	13573	23960
822	13593	23949
823	13610	23933
824	13614	23894
825	13618	23856
826	13624	23823
827	13645	23814
828	13659	23792
829	13678	23780
830	13690	23757
831	13711	23747
832	13731	23738
833	13753	23729
834	13772	23718
835	13791	23706
836	13797	23672
837	13809	23647
838	13828	23636
839	13850	23627
840	13857	23595
841	13877	23584
842	13893	23567
843	13910	23552
844	13929	23539
845	13948	23527
846	13971	23522
847	13995	23518
848	14002	23486
849	14012	23459
850	14032	23448
851	14053	23439
852	14073	23428
853	14087	23407
854	14107	23396
855	14114	23364
856	14134	23354
857	14154	23344
858	14174	23332
859	14193	23320
860	14212	23307
861	14230	23293
862	14249	23280
863	14268	23269
864	14287	23257
865	14307	23244
866	14325	23231
867	14337	23208
868	14356	23195
869	14359	23157
870	14381	23149
871	14402	23140
872	14423	23129
873	14442	23117
874	14462	23107
875	14487	23103
876	14491	23066
877	14511	23056
878	14531	23045
879	14549	23031
880	14567	23017
881	14583	23000
882	14604	22989
883	14611	22957
884	14634	22951
885	14637	22915
886	14652	22895
887	14663	22870
888	14679	22852
889	14695	22835
890	14717	22828
891	14737	22817
892	14756	22804
893	14777	22793
894	14798	22784
895	14818	22773
896	14837	22760
897	14856	22748
898	14875	22734
899	14894	22722
900	14915	22713
901	14922	22681
902	14941	22669
903	14955	22648
904	14975	22636
905	15000	22632
906	15022	22625
907	15038	22608
908	15059	22596
909	15069	22571
910	15089	22559
911	15108	22546
912	15127	22534
913	15149	22525
914	15169	22513
915	15188	22500
916	15207	22487
917	15220	22465
918	15239	22453
919	15262	22445
920	15282	22433
921	15301	22421
922	15320	22407
923	15348	22408
924	15379	22412
925	15391	22388
926	15413	22379
927	15435	22371
928	15458	22363
929	15466	22334
930	15490	22329
931	15516	22325
932	15537	22316
933	15557	22303
934	15580	22295
935	15601	22285
936	15613	22262
937	15633	22250
938	15653	22238
939	15676	22230
940	15687	22205
941	15707	22193
942	15728	22182
943	15746	22169
944	15765	22155
945	15774	22127
946	15790	22110
947	15803	22088
948	15807	22053
949	15813	22022
950	15833	22011
951	15853	21998
952	15873	21987
953	15894	21976
954	15916	21966
955	15941	21961
956	15967	21957
957	15994	21954
958	16019	21949
959	16043	21942
960	16068	21937
961	16091	21929
962	16116	21924
963	16139	21915
964	16160	21904
965	16177	21888
966	16197	21876
967	16217	21862
968	16236	21850
969	16257	21838
970	16281	21831
971	16304	21822
972	16326	21813
973	16354	21811
974	16377	21803
975	16402	21796
976	16425	21788
977	16450	21783
978	16458	21754
979	16483	21747
980	16509	21743
981	16531	21733
982	16549	21718
983	16571	21707
984	16593	21697
985	16616	21689
986	16642	21684
987	16667	21677
988	16691	21670
989	16717	21664
990	16741	21657
991	16768	21653
992	16793	21647
993	16817	21639
994	16838	21627
995	16857	21612
996	16877	21600
997	16891	21580
998	16911	21566
999	16929	21551
1000	16947	21535
1001	16963	21517
1002	16982	21502
1003	17006	21495
1004	17027	21483
1005	17038	21459
1006	17060	21448
1007	17079	21433
1008	17100	21421
1009	17119	21407
1010	17138	21393
1011	17157	21379
1012	17175	21363
1013	17195	21349
1014	17213	21335
1015	17233	21320
1016	17251	21305
1017	17273	21295
1018	17292	21280
1019	17312	21267
1020	17330	21252
1021	17357	21246
1022	17384	21242
1023	17409	21234
1024	17434	21227
1025	17470	21233
1026	17496	21228
1027	17541	21244
1028	17563	21232
1029	17584	21221
1030	17607	21210
1031	17631	21202
1032	17650	21187
1033	17674	21178
1034	17697	21169
1035	17723	21161
1036	17747	21153
1037	17771	21143
1038	17793	21132
1039	17816	21122
1040	17839	21112
1041	17861	21100
1042	17883	21089
1043	17904	21076
1044	17927	21066
1045	17937	21041
1046	17959	21030
1047	17984	21022
1048	18010	21015
1049	18036	21008
1050	18061	20999
1051	18082	20987
1052	18104	20976
1053	18126	20963
1054	18141	20944
1055	18163	20932
1056	18183	20918
1057	18204	20906
1058	18223	20890
1059	18243	20877
1060	18265	20864
1061	18287	20853
1062	18308	20839
1063	18331	20829
1064	18351	20815
1065	18371	20801
1066	18389	20785
1067	18408	20769
1068	18425	20752
1069	18446	20739
1070	18466	20725
1071	18488	20713
1072	18513	20705
1073	18536	20693
1074	18559	20682
1075	18582	20672
1076	18608	20664
1077	18632	20654
1078	18655	20643
1079	18678	20632
1080	18700	20620
1081	18720	20606
1082	18741	20592
1083	18766	20584
1084	18794	20579
1085	18825	20576
1086	18854	20572
1087	18881	20564
1088	18905	20555
1089	18925	20540
1090	18946	20526
1091	18966	20512
1092	18982	20493
1093	19014	20491
1094	19042	20486
1095	19072	20482
1096	19102	20477
1097	19124	20465
1098	19143	20449
1099	19162	20434
1100	19181	20418
1101	19203	20405
1102	19223	20391
1103	19248	20382
1104	19273	20372
1105	19299	20364
1106	19325	20355
1107	19348	20343
1108	19368	20329
1109	19389	20315
1110	19410	20301
1111	19431	20288
1112	19452	20274
1113	19474	20261
1114	19494	20246
1115	19520	20237
1116	19543	20225
1117	19570	20217
1118	19597	20210
1119	19621	20199
1120	19644	20187
1121	19668	20176
1122	19708	20182
1123	19735	20174
1124	19756	20160
1125	19775	20144
1126	19795	20129
1127	19816	20115
1128	19839	20102
1129	19861	20089
1130	19880	20074
1131	19903	20061
1132	19925	20048
1133	19946	20034
1134	19965	20018
1135	19985	20003
1136	20007	19990
1137	20034	19982
1138	20060	19972
1139	20087	19963
1140	20114	19955
1141	20141	19947
1142	20167	19938
1143	20192	19927
1144	20219	19919
1145	20246	19910
1146	20270	19899
1147	20293	19886
1148	20316	19874
1149	20340	19862
1150	20363	19850
1151	20391	19842
1152	20400	19816
1153	20424	19805
1154	20450	19795
1155	20475	19784
1156	20498	19772
1157	20521	19759
1158	20545	19747
1159	20567	19733
1160	20589	19720
