features,n_features,score
"['MonthlySpending', 'NotAlone', 'IsBillingPaperless', 'HasTechSupportAccess', 'HasContractPhone', 'ClientPeriod', 'HasOnlineSecurityService', 'IsAloneSenior', 'ClientPeriodGroup', 'TotalSpent', 'PaymentMethod', 'AverageMonthlySpend', 'HasInternetService', 'HasPartner', 'HasOnlineTV']",15,0.8424975833383798
"['HasPartner', 'PaymentMethod', 'ClientPeriod', 'TotalSpent', 'HasContractPhone', 'HasDeviceProtection', 'ClientPeriodGroup', 'HasChild', 'HasInternetService', 'HasOnlineSecurityService', 'IsBillingPaperless', 'HasTechSupportAccess', 'IsAloneSenior', 'HasOnlineBackup', 'IsSeniorCitizen', 'NotAlone']",16,0.8424942190762632
"['IsBillingPaperless', 'PaymentMethod', 'HasInternetService', 'AverageMonthlySpend', 'HasTechSupportAccess', 'HasChild', 'HasContractPhone', 'ClientPeriodGroup', 'HasOnlineSecurityService', 'HasOnlineBackup', 'ClientPeriod', 'HasPartner', 'TotalSpent', 'NotAlone', 'MonthlySpending', 'HasMovieSubscription', 'IsSeniorCitizen']",17,0.8424919762348523
"['HasPartner', 'HasInternetService', 'HasOnlineTV', 'ClientPeriodGroup', 'TotalSpent', 'HasMovieSubscription', 'IsBillingPaperless', 'HasTechSupportAccess', 'HasOnlineBackup', 'HasContractPhone', 'HasOnlineSecurityService', 'AverageMonthlySpend', 'IsAloneSenior', 'IsSeniorCitizen', 'MonthlySpending', 'PaymentMethod', 'ClientPeriod']",17,0.8424911351693233
"['HasPartner', 'TotalSpent', 'ClientPeriodGroup', 'HasContractPhone', 'IsBillingPaperless', 'PaymentMethod', 'HasTechSupportAccess', 'HasOnlineBackup', 'HasOnlineTV', 'IsAloneSenior', 'HasOnlineSecurityService', 'HasInternetService', 'HasChild', 'AverageMonthlySpend', 'ClientPeriod']",15,0.8424605764550993
"['TotalSpent', 'HasOnlineSecurityService', 'HasTechSupportAccess', 'IsBillingPaperless', 'HasPartner', 'AverageMonthlySpend', 'IsAloneSenior', 'NotAlone', 'HasOnlineBackup', 'HasInternetService', 'PaymentMethod', 'HasContractPhone', 'IsSeniorCitizen', 'ClientPeriod']",14,0.8424527265101612
"['HasChild', 'HasOnlineBackup', 'HasOnlineSecurityService', 'TotalSpent', 'HasPartner', 'HasOnlineTV', 'IsAloneSenior', 'HasContractPhone', 'NotAlone', 'HasInternetService', 'PaymentMethod', 'HasTechSupportAccess', 'ClientPeriod', 'IsSeniorCitizen', 'IsBillingPaperless', 'MonthlySpending', 'HasMovieSubscription', 'ClientPeriodGroup']",18,0.8424459979859283
"['ClientPeriod', 'TotalSpent', 'HasOnlineSecurityService', 'HasOnlineBackup', 'PaymentMethod', 'IsSeniorCitizen', 'HasInternetService', 'HasTechSupportAccess', 'IsBillingPaperless', 'ClientPeriodGroup', 'HasContractPhone', 'AverageMonthlySpend', 'HasChild', 'HasDeviceProtection']",14,0.8424384283961666
"['NotAlone', 'HasInternetService', 'HasOnlineBackup', 'HasContractPhone', 'HasOnlineTV', 'ClientPeriod', 'HasTechSupportAccess', 'AverageMonthlySpend', 'IsBillingPaperless', 'IsAloneSenior', 'HasChild', 'PaymentMethod', 'ClientPeriodGroup', 'TotalSpent', 'HasOnlineSecurityService']",15,0.84241964459935
"['ClientPeriodGroup', 'TotalSpent', 'NotAlone', 'HasTechSupportAccess', 'PaymentMethod', 'HasMovieSubscription', 'HasContractPhone', 'MonthlySpending', 'HasInternetService', 'AverageMonthlySpend', 'ClientPeriod', 'IsBillingPaperless', 'HasPartner', 'HasOnlineTV', 'HasOnlineBackup', 'HasChild', 'HasOnlineSecurityService', 'IsAloneSenior']",18,0.8424151589165282
"['ClientPeriodGroup', 'HasInternetService', 'IsAloneSenior', 'HasContractPhone', 'ClientPeriod', 'HasTechSupportAccess', 'PaymentMethod', 'NotAlone', 'HasOnlineTV', 'TotalSpent', 'HasOnlineBackup', 'IsSeniorCitizen', 'IsBillingPaperless', 'HasOnlineSecurityService', 'HasMovieSubscription', 'MonthlySpending', 'HasPartner']",17,0.8424134767854699
"['HasContractPhone', 'MonthlySpending', 'IsBillingPaperless', 'ClientPeriod', 'NotAlone', 'ClientPeriodGroup', 'PaymentMethod', 'IsSeniorCitizen', 'HasChild', 'HasTechSupportAccess', 'HasOnlineSecurityService', 'AverageMonthlySpend', 'TotalSpent']",13,0.8424078696819427
"['PaymentMethod', 'ClientPeriod', 'NotAlone', 'TotalSpent', 'AverageMonthlySpend', 'IsSeniorCitizen', 'ClientPeriodGroup', 'IsBillingPaperless', 'HasTechSupportAccess', 'HasOnlineSecurityService', 'HasChild', 'HasContractPhone']",12,0.8424056268405318
"['HasOnlineTV', 'HasOnlineSecurityService', 'PaymentMethod', 'HasContractPhone', 'HasInternetService', 'ClientPeriod', 'HasMovieSubscription', 'TotalSpent', 'AverageMonthlySpend', 'NotAlone', 'IsBillingPaperless', 'IsAloneSenior', 'HasOnlineBackup', 'ClientPeriodGroup', 'HasTechSupportAccess', 'MonthlySpending', 'HasChild']",17,0.8423916090817135
"['PaymentMethod', 'HasTechSupportAccess', 'HasContractPhone', 'NotAlone', 'HasOnlineBackup', 'TotalSpent', 'HasInternetService', 'HasChild', 'IsBillingPaperless', 'MonthlySpending', 'HasOnlineTV', 'ClientPeriod', 'IsSeniorCitizen', 'HasOnlineSecurityService', 'HasMovieSubscription', 'ClientPeriodGroup']",16,0.8423904876610081
"['TotalSpent', 'ClientPeriodGroup', 'PaymentMethod', 'ClientPeriod', 'HasChild', 'HasInternetService', 'HasOnlineSecurityService', 'HasOnlineBackup', 'HasContractPhone', 'HasTechSupportAccess', 'NotAlone', 'IsBillingPaperless']",12,0.8423896465954789
"['HasMovieSubscription', 'HasChild', 'HasContractPhone', 'IsBillingPaperless', 'ClientPeriodGroup', 'HasPartner', 'ClientPeriod', 'HasOnlineTV', 'HasInternetService', 'AverageMonthlySpend', 'PaymentMethod', 'MonthlySpending', 'HasOnlineBackup', 'HasTechSupportAccess', 'HasOnlineSecurityService', 'IsAloneSenior', 'TotalSpent']",17,0.8423876841092444
"['HasContractPhone', 'IsBillingPaperless', 'HasInternetService', 'NotAlone', 'AverageMonthlySpend', 'MonthlySpending', 'ClientPeriodGroup', 'HasMovieSubscription', 'HasTechSupportAccess', 'HasOnlineSecurityService', 'TotalSpent', 'HasOnlineBackup', 'IsSeniorCitizen', 'ClientPeriod', 'PaymentMethod', 'HasChild']",16,0.8423781520332478
"['MonthlySpending', 'HasOnlineBackup', 'HasOnlineTV', 'HasMovieSubscription', 'HasPartner', 'IsSeniorCitizen', 'HasOnlineSecurityService', 'PaymentMethod', 'HasContractPhone', 'ClientPeriod', 'IsBillingPaperless', 'HasInternetService', 'HasTechSupportAccess', 'TotalSpent', 'ClientPeriodGroup']",15,0.8423745074159551
"['HasOnlineSecurityService', 'NotAlone', 'AverageMonthlySpend', 'IsBillingPaperless', 'PaymentMethod', 'IsAloneSenior', 'HasTechSupportAccess', 'ClientPeriodGroup', 'TotalSpent', 'HasInternetService', 'HasContractPhone', 'HasChild', 'ClientPeriod']",13,0.8423669378261932
"['HasTechSupportAccess', 'IsAloneSenior', 'ClientPeriod', 'AverageMonthlySpend', 'PaymentMethod', 'HasOnlineBackup', 'IsBillingPaperless', 'HasContractPhone', 'MonthlySpending', 'HasOnlineSecurityService', 'TotalSpent', 'HasInternetService', 'IsSeniorCitizen', 'NotAlone', 'HasPartner']",15,0.8423641342744296
"['HasInternetService', 'HasContractPhone', 'IsAloneSenior', 'TotalSpent', 'HasOnlineBackup', 'IsBillingPaperless', 'PaymentMethod', 'ClientPeriodGroup', 'MonthlySpending', 'HasOnlineSecurityService', 'HasTechSupportAccess', 'ClientPeriod', 'HasPartner', 'AverageMonthlySpend']",14,0.842353761132904
"['PaymentMethod', 'TotalSpent', 'HasContractPhone', 'HasMovieSubscription', 'IsBillingPaperless', 'ClientPeriodGroup', 'HasTechSupportAccess', 'ClientPeriod', 'HasOnlineSecurityService', 'HasOnlineBackup', 'AverageMonthlySpend', 'IsSeniorCitizen', 'HasInternetService', 'IsAloneSenior', 'MonthlySpending']",15,0.8423489950949059
"['TotalSpent', 'ClientPeriodGroup', 'PaymentMethod', 'NotAlone', 'HasMovieSubscription', 'HasOnlineSecurityService', 'HasContractPhone', 'HasChild', 'IsBillingPaperless', 'ClientPeriod', 'MonthlySpending', 'HasInternetService', 'IsAloneSenior', 'HasOnlineBackup', 'IsSeniorCitizen', 'HasTechSupportAccess', 'HasOnlineTV']",17,0.8423383415982041
"['ClientPeriod', 'PaymentMethod', 'HasTechSupportAccess', 'IsSeniorCitizen', 'NotAlone', 'HasInternetService', 'HasOnlineBackup', 'HasPartner', 'HasOnlineSecurityService', 'TotalSpent', 'HasContractPhone', 'MonthlySpending', 'IsBillingPaperless', 'HasMovieSubscription', 'ClientPeriodGroup']",15,0.842336098756793
"['HasOnlineBackup', 'HasContractPhone', 'IsBillingPaperless', 'HasOnlineSecurityService', 'HasChild', 'HasTechSupportAccess', 'IsAloneSenior', 'HasInternetService', 'ClientPeriodGroup', 'ClientPeriod', 'HasMovieSubscription', 'TotalSpent', 'IsSeniorCitizen', 'PaymentMethod', 'AverageMonthlySpend', 'MonthlySpending', 'HasPartner']",17,0.8423316130739712
