Model,Min_loss,Max_accuracy,Diff_accuracy
lstm_max_hd384_nl2_drop0.3,0.05518896803780614,0.9147999882698059,0.011200010776519775
lstm_mean_last_concat_hd512_nl1_drop0.3,0.0302900822056113,0.9147999882698059,0.005600035190582275
lstm_mean_last_concat_hd256_nl3_drop0.1,0.04317311490068678,0.9147999882698059,0.005600035190582275
lstm_max_hd512_nl2_drop0.1,0.04261601345385425,0.9145999550819397,0.010999977588653564
lstm_max_hd512_nl1_drop0.3,0.05252914695178236,0.9145999550819397,0.010999977588653564
lstm_mean_last_concat_hd256_nl1_drop0.2,0.030925807621061296,0.9145999550819397,0.0054000020027160645
lstm_mean_hd256_nl3_drop0.3,0.05299871613356906,0.9145999550819397,0.0054000020027160645
gru_mean,0.06975648503131233,0.9145999550819397,0.007599949836730957
lstm_mean_last_concat_hd256_nl3_drop0.3,0.05092998522045867,0.9143999814987183,0.005200028419494629
lstm_mean_hd384_nl3_drop0.0,0.03556134812556362,0.9139999747276306,0.004800021648406982
lstm_mean_hd256_nl2_drop0.1,0.034691083332315124,0.9138000011444092,0.004600048065185547
lstm_max_hd384_nl1_drop0.2,0.048536873052928906,0.913599967956543,0.009999990463256836
lstm_mean_last_concat_hd256_nl2_drop0.2,0.037961929326776105,0.913599967956543,0.004400014877319336
lstm_mean_last_concat_hd384_nl1_drop0.0,0.029287192648504667,0.9133999943733215,0.0042000412940979
lstm_max_hd256_nl3_drop0.0,0.04367871092868348,0.9131999611854553,0.00959998369216919
lstm_mean_last_concat_hd512_nl2_drop0.0,0.029221159980185134,0.9129999876022339,0.003800034523010254
lstm_max_hd512_nl1_drop0.1,0.05514039942563201,0.9129999876022339,0.009400010108947754
lstm_mean,0.05436941642117066,0.9129999876022339,0.0059999823570251465
lstm_mean_hd256_nl1_drop0.2,0.029428253824229856,0.9127999544143677,0.003600001335144043
lstm_mean_hd512_nl1_drop0.3_adam,0.027863469032402402,0.9127999544143677,0.003600001335144043
lstm_max_hd256_nl3_drop0.2,0.056699258007342,0.9125999808311462,0.009000003337860107
lstm_max_hd256_nl1_drop0.1,0.04741639849375934,0.9121999740600586,0.008599996566772461
lstm_max_hd512_nl3_drop0.1,0.0468209952131069,0.9121999740600586,0.008599996566772461
lstm_max_hd384_nl1_drop0.1,0.048581761778029614,0.9121999740600586,0.008599996566772461
lstm_max_hd256_nl3_drop0.3,0.065261017908218,0.911799967288971,0.008199989795684814
lstm_mean_last_concat_hd256_nl1_drop0.0,0.031923854505633065,0.9109999537467957,0.0018000006675720215
base_multi_concat_mean_nl2_drop0.0,0.1687196275976797,0.9107999801635742,0.0037999749183654785
base_multi_concat_mean_nl2_drop0.3,0.18061546740444998,0.9103999733924866,0.003399968147277832
lstm_max_hd384_nl1_drop0.0,0.04869662042785203,0.9103999733924866,0.0067999958992004395
